Date, Epi
1982-1-1,0.063945071
1982-2-1,0.064321077
1982-3-1,0.063877317
1982-4-1,0.061406276
1982-5-1,0.054881669
1982-6-1,0.054452325
1982-7-1,0.063748846
1982-8-1,0.06367801
1982-9-1,0.06339422
1982-10-1,0.051327583
1982-11-1,0.046539145
1982-12-1,0.045710148
1983-1-1,0.048633048
1983-2-1,0.045956615
1983-3-1,0.040629447
1983-4-1,0.046289199
1983-5-1,0.046186334
1983-6-1,0.041399507
1983-7-1,0.049603809
1983-8-1,0.051924267
1983-9-1,0.051037494
1983-10-1,0.051155348
1983-11-1,0.052028781
1983-12-1,0.051980904
1984-1-1,0.052475146
1984-2-1,0.050622947
1984-3-1,0.048302654
1984-4-1,0.054205543
1984-5-1,0.054580169
1984-6-1,0.055883874
1984-7-1,0.05692377
1984-8-1,0.05224781
1984-9-1,0.051047828
1984-10-1,0.054138126
1984-11-1,0.049376646
1984-12-1,0.048509702
1985-1-1,0.048807597
1985-2-1,0.046573474
1985-3-1,0.049883735
1985-4-1,0.047725855
1985-5-1,0.047029389
1985-6-1,0.04716909
1985-7-1,0.04407939
1985-8-1,0.044287764
1985-9-1,0.044613628
1985-10-1,0.044118946
1985-11-1,0.042730751
1985-12-1,0.040037965
1986-1-1,0.039759159
1986-2-1,0.039713373
1986-3-1,0.034802235
1986-4-1,0.030175747
1986-5-1,0.028514107
1986-6-1,0.034637795
1986-7-1,0.035734378
1986-8-1,0.03388122
1986-9-1,0.034035122
1986-10-1,0.034713896
1986-11-1,0.032203774
1986-12-1,0.036377004
1987-1-1,0.034766992
1987-2-1,0.035699365
1987-3-1,0.030945875
1987-4-1,0.036402938
1987-5-1,0.039085461
1987-6-1,0.039808006
1987-7-1,0.040066156
1987-8-1,0.04126315
1987-9-1,0.042771388
1987-10-1,0.043834831
1987-11-1,0.039721739
1987-12-1,0.04083687
1988-1-1,0.036629208
1988-2-1,0.037866556
1988-3-1,0.036808433
1988-4-1,0.039816855
1988-5-1,0.040994026
1988-6-1,0.039480755
1988-7-1,0.042701061
1988-8-1,0.04362807
1988-9-1,0.04414214
1988-10-1,0.043720582
1988-11-1,0.042504516
1988-12-1,0.044612583
1989-1-1,0.044802056
1989-2-1,0.044007674
1989-3-1,0.045305051
1989-4-1,0.047028561
1989-5-1,0.04852568
1989-6-1,0.043841384
1989-7-1,0.043266076
1989-8-1,0.04127378
1989-9-1,0.040212728
1989-10-1,0.042239744
1989-11-1,0.039988063
1989-12-1,0.036603593
1990-1-1,0.041516909
1990-2-1,0.044318376
1990-3-1,0.039925157
1990-4-1,0.041347922
1990-5-1,0.042465017
1990-6-1,0.041908762
1990-7-1,0.040715514
1990-8-1,0.041266926
1990-9-1,0.047322385
1990-10-1,0.050042957
1990-11-1,0.049594235
1990-12-1,0.048876822
1991-1-1,0.040730006
1991-2-1,0.037918137
1991-3-1,0.037886339
1991-4-1,0.037570386
1991-5-1,0.036422551
1991-6-1,0.035765848
1991-7-1,0.038492682
1991-8-1,0.037712021
1991-9-1,0.035858551
1991-10-1,0.035977558
1991-11-1,0.034862803
1991-12-1,0.035525591
1992-1-1,0.032724393
1992-2-1,0.033409544
1992-3-1,0.035870624
1992-4-1,0.033684803
1992-5-1,0.034097229
1992-6-1,0.035547337
1992-7-1,0.032800719
1992-8-1,0.03113691
1992-9-1,0.030056291
1992-10-1,0.029535204
1992-11-1,0.030830561
1992-12-1,0.030122331
1993-1-1,0.030462732
1993-2-1,0.029146659
1993-3-1,0.029762001
1993-4-1,0.029080126
1993-5-1,0.028227684
1993-6-1,0.028107258
1993-7-1,0.028204755
1993-8-1,0.028309168
1993-9-1,0.026860327
1993-10-1,0.027698057
1993-11-1,0.028056918
1993-12-1,0.026618748
1994-1-1,0.028546535
1994-2-1,0.028042649
1994-3-1,0.032724485
1994-4-1,0.032195329
1994-5-1,0.032434833
1994-6-1,0.034229273
1994-7-1,0.032848815
1994-8-1,0.032882372
1994-9-1,0.03251555
1994-10-1,0.034983836
1994-11-1,0.035738487
1994-12-1,0.039072213
1995-1-1,0.037001702
1995-2-1,0.035637152
1995-3-1,0.03474127
1995-4-1,0.034644238
1995-5-1,0.034662409
1995-6-1,0.030571159
1995-7-1,0.032567759
1995-8-1,0.032675624
1995-9-1,0.032099157
1995-10-1,0.031309968
1995-11-1,0.029833163
1995-12-1,0.027518619
1996-1-1,0.030038319
1996-2-1,0.029196834
1996-3-1,0.026168022
1996-4-1,0.031333648
1996-5-1,0.032478188
1996-6-1,0.032261356
1996-7-1,0.03144873
1996-8-1,0.031073244
1996-9-1,0.031347765
1996-10-1,0.031805381
1996-11-1,0.030987135
1996-12-1,0.029632444
1997-1-1,0.031574043
1997-2-1,0.031308768
1997-3-1,0.032344619
1997-4-1,0.032328116
1997-5-1,0.031341546
1997-6-1,0.03201087
1997-7-1,0.030903227
1997-8-1,0.029692178
1997-9-1,0.030134879
1997-10-1,0.029881361
1997-11-1,0.029327548
1997-12-1,0.029354614
1998-1-1,0.027570107
1998-2-1,0.026177094
1998-3-1,0.028714847
1998-4-1,0.027267374
1998-5-1,0.02644841
1998-6-1,0.024650222
1998-7-1,0.027361812
1998-8-1,0.027124419
1998-9-1,0.025336411
1998-10-1,0.023601762
1998-11-1,0.023458166
1998-12-1,0.022704824
1999-1-1,0.02395567
1999-2-1,0.024182198
1999-3-1,0.027113296
1999-4-1,0.027007827
1999-5-1,0.027428736
1999-6-1,0.023467564
1999-7-1,0.028008632
1999-8-1,0.028129568
1999-9-1,0.026882069
1999-10-1,0.028762836
1999-11-1,0.029859271
1999-12-1,0.031640203
2000-1-1,0.03080288
2000-2-1,0.031570678
2000-3-1,0.032388566
2000-4-1,0.031606735
2000-5-1,0.033126257
2000-6-1,0.037602013
2000-7-1,0.030862813
2000-8-1,0.031234906
2000-9-1,0.031741185
2000-10-1,0.031062109
2000-11-1,0.030989798
2000-12-1,0.031672986
2001-1-1,0.026536536
2001-2-1,0.02632136
2001-3-1,0.021422446
2001-4-1,0.025592129
2001-5-1,0.027238774
2001-6-1,0.027511842
2001-7-1,0.026878453
2001-8-1,0.025859519
2001-9-1,0.031152263
2001-10-1,0.022912795
2001-11-1,0.020813513
2001-12-1,0.027313753
2002-1-1,0.022902539
2002-2-1,0.021457897
2002-3-1,0.02013877
2002-4-1,0.025878316
2002-5-1,0.026186536
2002-6-1,0.023419254
2002-7-1,0.023480992
2002-8-1,0.021314545
2002-9-1,0.020411286
2002-10-1,0.020053377
2002-11-1,0.020305948
2002-12-1,0.019511579
2003-1-1,0.020790118
2003-2-1,0.021065381
2003-3-1,0.01903343
2003-4-1,0.019895133
2003-5-1,0.018385312
2003-6-1,0.022847306
2003-7-1,0.016263355
2003-8-1,0.018526073
2003-9-1,0.019804944
2003-10-1,0.017885532
2003-11-1,0.019308072
2003-12-1,0.022234564
2004-1-1,0.019069713
2004-2-1,0.019871939
2004-3-1,0.017042839
2004-4-1,0.018527671
2004-5-1,0.022141024
2004-6-1,0.025740778
2004-7-1,0.022558469
2004-8-1,0.023408529
2004-9-1,0.026767708
2004-10-1,0.02145831
2004-11-1,0.022068239
2004-12-1,0.017525286
2005-1-1,0.021405957
2005-2-1,0.021370072
2005-3-1,0.023342418
2005-4-1,0.024622893
2005-5-1,0.025780667
2005-6-1,0.023619011
2005-7-1,0.023318043
2005-8-1,0.024638191
2005-9-1,0.023538136
2005-10-1,0.028474638
2005-11-1,0.030510174
2005-12-1,0.032271725
2006-1-1,0.024027758
2006-2-1,0.025082827
2006-3-1,0.01768612
2006-4-1,0.026830379
2006-5-1,0.028830197
2006-6-1,0.027447553
2006-7-1,0.028005219
2006-8-1,0.028670646
2006-9-1,0.026513028
2006-10-1,0.024007047
2006-11-1,0.018893923
2006-12-1,0.019891528
2007-1-1,0.026838116
2007-2-1,0.026396415
2007-3-1,0.027976602
2007-4-1,0.027184483
2007-5-1,0.029243064
2007-6-1,0.03214615
2007-7-1,0.02614408
2007-8-1,0.026534371
2007-9-1,0.025740481
2007-10-1,0.022920506
2007-11-1,0.026320037
2007-12-1,0.025437758
2008-1-1,0.02466622
2008-2-1,0.022977869
2008-3-1,0.019336763
2008-4-1,0.020175043
2008-5-1,0.022868435
2008-6-1,0.027285115
2008-7-1,0.029490198
2008-8-1,0.030525448
2008-9-1,0.027309252
2008-10-1,0.016072395
2008-11-1,0.007845721
2008-12-1,0.002829956
2009-1-1,0.004735751
2009-2-1,0.003816469
2009-3-1,-0.00480678
2009-4-1,0.012289362
2009-5-1,0.012972457
2009-6-1,0.012745119
2009-7-1,0.015522347
2009-8-1,0.020245319
2009-9-1,0.023608109
2009-10-1,0.016283633
2009-11-1,0.018070337
2009-12-1,0.017866037
2010-1-1,0.016957593
2010-2-1,0.017316171
2010-3-1,0.019701388
2010-4-1,0.01587202
2010-5-1,0.01562963
2010-6-1,0.013532178
2010-7-1,0.009627986
2010-8-1,0.013411201
2010-9-1,0.00907137
2010-10-1,0.013652619
2010-11-1,0.013962369
2010-12-1,0.014938723
2011-1-1,0.017900451
2011-2-1,0.019547432
2011-3-1,0.021063793
2011-4-1,0.020757372
2011-5-1,0.02292302
2011-6-1,0.021177045
2011-7-1,0.02432348
2011-8-1,0.015113148
2011-9-1,0.01008876
2011-10-1,0.014656093
2011-11-1,0.015052488
2011-12-1,0.017116627
2012-1-1,0.014714419
2012-2-1,0.015014226
2012-3-1,0.013620536
2012-4-1,0.016869361
2012-5-1,0.015903147
2012-6-1,0.007893057
2012-7-1,0.012966497
2012-8-1,0.013700924
2012-9-1,0.019315046
2012-10-1,0.016131067
2012-11-1,0.016632266
2012-12-1,0.021029068
2013-1-1,0.013155854
2013-2-1,0.013608065
2013-3-1,0.010049408
2013-4-1,0.014563149
2013-5-1,0.011780254
2013-6-1,0.013532103
2013-7-1,0.010030329
2013-8-1,0.01797427
2013-9-1,0.02202423
2013-10-1,0.015555239
2013-11-1,0.014505754
2013-12-1,0.019240314
2014-1-1,0.016382453
2014-2-1,0.015858281
2014-3-1,0.012194617
2014-4-1,0.01653011
2014-5-1,0.0176839
2014-6-1,0.015265458
2014-7-1,0.018594911
2014-8-1,0.018065541
2014-9-1,0.021150395
2014-10-1,0.016022445
2014-11-1,0.01321155
2014-12-1,0.021860996
2015-1-1,0.009160411
2015-2-1,0.003833421
2015-3-1,0.007984386
2015-4-1,0.015899931
2015-5-1,0.017028274
2015-6-1,0.017750546
2015-7-1,0.018011251
2015-8-1,0.017247986
2015-9-1,0.019283558
2015-10-1,0.013119821
2015-11-1,0.013066673
2015-12-1,0.014679551
2016-1-1,0.014749878
2016-2-1,0.011158939
2016-3-1,0.007822455
2016-4-1,0.016896642
2016-5-1,0.016601221
2016-6-1,0.012811618
2016-7-1,0.016481344
2016-8-1,0.015900866
2016-9-1,0.020644372
2016-10-1,0.017439974
2016-11-1,0.019022018
2016-12-1,0.022917332
2017-1-1,0.021027318
2017-2-1,0.019427737
2017-3-1,0.015031482
2017-4-1,0.017186697
2017-5-1,0.015648063
2017-6-1,0.009586878
2017-7-1,0.017121595
2017-8-1,0.016521783
2017-9-1,0.020578024
2017-10-1,0.019526993
2017-11-1,0.02069175
2017-12-1,0.028240748
2018-1-1,0.019048938
2018-2-1,0.021380409
2018-3-1,0.016887443
2018-4-1,0.018467902
2018-5-1,0.019677839
2018-6-1,0.015909953
2018-7-1,0.021230894
2018-8-1,0.021284581
2018-9-1,0.024100145
2018-10-1,0.022121666
2018-11-1,0.021670162
2018-12-1,0.0198107
2019-1-1,0.018039584
2019-2-1,0.017894311
2019-3-1,0.013753243
2019-4-1,0.020373803
2019-5-1,0.021851399
2019-6-1,0.016091404
2019-7-1,0.017476562
2019-8-1,0.017143365
2019-9-1,0.016449279
2019-10-1,0.017246018
2019-11-1,0.016972998
2019-12-1,0.017037844
2020-1-1,0.017971093
2020-2-1,0.016459637
2020-3-1,0.009870739
2020-4-1,-0.000503537
2020-5-1,-0.002187904
2020-6-1,0.005127571
2020-7-1,0.015720014
2020-8-1,0.016767718
2020-9-1,0.015827644
2020-10-1,0.013970377
2020-11-1,0.014200295
2020-12-1,0.016495213
2021-1-1,0.014460926
2021-2-1,0.016754867
2021-3-1,0.015138381
2021-4-1,0.017547174
2021-5-1,0.018682073
2021-6-1,0.020551886
2021-7-1,0.020731161
2021-8-1,0.024624126
2021-9-1,0.026841371
2021-10-1,0.018543676
2021-11-1,0.024798405
2021-12-1,0.026203086
2022-1-1,0.022417585
2022-2-1,0.026274188
2022-3-1,0.030576988
2022-4-1,0.033929034
2022-5-1,0.036346578
2022-6-1,0.042267134
2022-7-1,0.033092777
2022-8-1,0.033771317
2022-9-1,0.041791497
2022-10-1,0.028819593
2022-11-1,0.032390484
2022-12-1,0.028681192
2023-1-1,0.026790161
2023-2-1,0.026130895
2023-3-1,0.020732509
2023-4-1,0.026508326
2023-5-1,0.026536386
2023-6-1,0.013662625
2023-7-1,0.024743165
2023-8-1,0.026069689
2023-9-1,0.028124348
2023-10-1,0.027695737
2023-11-1,0.027911957
2023-12-1,0.03091665
2024-1-1,0.024186326
2024-2-1,0.02428328
2024-3-1,0.020822133
2024-4-1,0.027043669
2024-5-1,0.029356676
2024-6-1,0.027258402
2024-7-1,0.025556443
2024-8-1,0.023470594
2024-9-1,0.022361209
2024-10-1,0.022561284
2024-11-1,0.024316758
2024-12-1,0.026503563
2025-1-1,0.026254558
