parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6584821175388015,0.054476358749708,0.5497909863278421,0.7512194583596612,0.00861346861407599,40.0,40.0,1.0317144756375056,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_0,-0.02235470822436083,0.06444651578603766,-0.13790113554325006,0.09058005780438319,0.012784836707853926,25.410225236959647,40.0,1.1698859356549496,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
delta,0.01867004907195896,0.01911738925640702,-0.014458101246377713,0.05423574017548339,0.0030227246483139447,40.0,40.0,1.1407523054676059,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mean,-0.02054885926536414,0.0643533810241023,-0.1377408024580801,0.09218039301952488,0.012812438933753828,25.227784992110475,40.0,1.1661793038804613,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_start,-0.025948926937668898,0.06692000925945112,-0.16646599376044702,0.08162404592249078,0.012754794404224782,27.527391506389,40.0,1.2003653354935626,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.01413673726292326,0.07003660605852208,-0.10475968463953202,0.1381908102454392,0.013599848922767293,26.520518860179497,23.291713961407492,1.0051258455809826,bulk ESS < 400; tail ESS < 400
kappa_t_end,-0.07158987127474331,0.08835842503239577,-0.21669195945209,0.06584601794403516,0.014886084008612209,35.231813714511354,23.291713961407492,1.308065226793378,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.6260521946711457,0.05398649369402196,0.536943756906593,0.7401417583467362,0.008536014147971336,40.0,40.0,1.0773979860649847,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_1,0.30922762355989303,0.11998831869166246,0.14090024235425588,0.5110913179602048,0.038407883535067584,9.759716079489525,40.0,1.142578517101109,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.4128659418141828,0.19075858187443218,-0.7176635508149721,-0.11693361899153241,0.07249236682085335,6.92442334041331,24.20762878489973,1.823694579760287,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.016173486922997353,0.018743687792825835,-0.055999128895849695,0.013858809540705678,0.0035286604561735758,28.21566837736515,40.0,1.0309946976504885,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.04819679241869581,0.08954173868648618,-0.10756130353062168,0.2521091977296347,0.014157791995045499,40.0,40.0,1.1283619700661711,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho,0.05915057038363329,0.11270607143906179,-0.14547878577489917,0.30759469805202616,0.017820394593854327,40.0,40.0,1.1128796082974644,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eta,0.665837191532068,0.042045891976432735,0.5954261224961774,0.7541055622448777,0.006648039244946307,40.0,24.207628784899725,1.0753914474135797,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6714812340336664,0.04550872397210703,0.5957751668560105,0.7594145459238257,0.007195561057988162,40.0,24.207628784899725,1.103103517257802,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.8737277010863105,0.06004475223856546,0.7657772040280619,0.9631566887988998,0.009493908930718041,40.0,40.0,0.9762682047053329,bulk ESS < 400; tail ESS < 400
sigma_u,0.09358071029434864,0.017206349257760507,0.07140277040326078,0.12582606525989498,0.005571633015832059,9.53701491105719,24.207628784899725,0.9765744999423726,bulk ESS < 400; tail ESS < 400
sigma_eps,0.2021420385313329,0.02759422879554939,0.1653534014321523,0.2789715822152733,0.00800876595730947,11.871492354203054,24.207628784899725,1.0007694982328401,bulk ESS < 400; tail ESS < 400
sigma_N,0.07679812899052063,0.019829976806068038,0.0458289648632677,0.11418227307353353,0.006658908747166891,8.868257311680777,24.207628784899725,0.9853980754012265,bulk ESS < 400; tail ESS < 400
