run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_output_gap_bn_core_baseline_restricted_kappa_t_20260709_154602,ces,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,3.8374263084238542
hsa_dynamic_output_gap_bn_core_baseline_restricted_kappa_t_20260709_154930,hsa_dynamic,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,3.0017240567229218
hsa_dynamic_output_gap_bn_core_baseline_restricted_kappa_t_20260709_154930,hsa_dynamic,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,2.151086130077184
hsa_full_output_gap_bn_core_baseline_restricted_kappa_t_20260709_155305,hsa_full,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.09972237938403426
hsa_full_output_gap_bn_core_baseline_restricted_kappa_t_20260709_155305,hsa_full,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.3529339708469879
hsa_full_output_gap_bn_core_baseline_restricted_kappa_t_20260709_155305,hsa_full,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,6.254369780335844
hsa_full_output_gap_bn_core_baseline_restricted_kappa_t_20260709_155305,hsa_full,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.1034639826204907
hsa_steady_output_gap_bn_baseline_restricted_kappa_t_20260702_072519,hsa_steady,output_gap_bn,baseline,restricted_kappa_t,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.1377956978689503
hsa_steady_output_gap_bn_baseline_restricted_kappa_t_20260702_072519,hsa_steady,output_gap_bn,baseline,restricted_kappa_t,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.367200536557465
hsa_steady_output_gap_bn_core_baseline_restricted_kappa_t_20260709_154603,hsa_steady,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.2515946665942508
hsa_steady_output_gap_bn_core_baseline_restricted_kappa_t_20260709_154603,hsa_steady,output_gap_bn_core,baseline,restricted_kappa_t,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.878893809730472
